timestamp,channel_name,message_id,sender_username,message_text,keywords_detected,sentiment,polarity,subjectivity,coin_symbol,coin_name
2025-03-14 12:58:27,DeFiChainOfficial,10719,7807992922,which staking methods available for dfi right now?,eth,positive,0.34285714285714286,0.46785714285714286,dfi,DeFiChain
2025-03-14 12:56:47,DeFiChainOfficial,10718,7807992922,Pool activity and APRs coming back again?,"pool, apr",neutral,0.0,0.0,Unknown,Unknown
2025-03-14 12:53:01,DeFiChainOfficial,10716,hsiakoq,"Hi. 10 days later I managed to get my desktop wallet working. Now I have transferred everything to my mobile wallet. The wallet consists of DFIs, dBTCs and DUSD. What else can I do with it now? Please help 😊","lp, btc",neutral,0.0,0.0,Unknown,Unknown
2025-03-14 12:52:20,DeFiChainOfficial,10715,,"Then, my advice is to swap everything to DFI and send to your exchange and swap there into BTC or EUR. 

Bake was the offramp, byt they stopped that service, so not possible to swap in the wallet now and send to Bake for unwrapp.

Only way is to exit the wallet through DFI to a supported exchange and from there, swap into BTC or EUR.

Cryptofactor is working on a bridge and on/offramps, but these will still take a bit more time, currently undergoing internal tests.",btc,neutral,0.1,0.58,btc,Bitcoin
2025-03-14 12:52:06,DeFiChainOfficial,10714,heiwiiwo,Transfering it to BTC or EUR I want to do 😉,btc,neutral,0.0,0.0,btc,Bitcoin
2025-03-14 12:49:38,DeFiChainOfficial,10713,,"The new DeFiChain voting cycle is currently underway.

The cycle concludes at block 4,940,000 (~April 14, 2025)",apr,neutral,0.06818181818181818,0.42727272727272725,dfi,DeFiChain
2025-03-14 12:46:41,DeFiChainOfficial,10707,yobejeig,"...:~$ ./.defi/defi-cli getmininginfo
{
  ""blocks"": 2631032,
  ""difficulty"": 30246633513.64949,
  ""networkhashps"": 5.238317904388838e+18,
  ""pooledtx"": 0,
  ""chain"": ""main"",
  ""isoperator"": false,
  ""masternodes"": [
  ],
  ""warnings"": """"
}
...:~$","pool, warning",warning,-0.11666666666666671,0.4666666666666667,Unknown,Unknown
2025-03-14 12:46:16,DeFiChainOfficial,10705,yobejeig,"Hello, we setup DFI server node about 3 weeks ago and it is listed on masternode site (...). However, there no activities whatsoever on the node (stays as 0). We see on errors on the server so we don't know what to do. Also posted message on DFI DIscord, but no replay in 3 weeks. Help or guidance how to get support would be deeply appreciated.",lp,positive,0.2,0.1,dfi,DeFiChain
2025-03-14 12:43:57,DeFiChainOfficial,10704,,"DeFiChain April DFIP & CFP Voting Round is LIVE!

The latest governance round features 2 DFIPs and 5 CFPs, shaping the future of DeFiChain. The proposals include:

🔹 DFIP 1 – Strengthening governance & transparency for CFPs
🔹 DFIP 2 – Deprecation of dCrypto pools for ecosystem sustainability
🔹 CFP 1 – Securing reliable oracle data for accurate pricing
🔹 CFP 2 & 4 – Ensuring Light Wallet compliance & maintenance
🔹 CFP 3 – AI-powered chatbot for user onboarding & education
🔹 CFP 5 – Developer resources to enhance network resilience

📢 Masternodes, your vote matters! Help shape the future of DeFiChain.

📖 Read the full breakdown here: https://blog.defichain.com/a-closer-look-at-the-april-dfip-cfp-voting-round/","pool, lp, apr, proposal, vote, governance",positive,0.1540404040404041,0.48148148148148145,dfi,DeFiChain
2025-03-04 21:25:11,DeFiChainOfficial,10683,del_willson,try to send some DFI to your address with the LM Token on it.,token,neutral,0.0,0.0,dfi,DeFiChain
2025-03-04 21:24:41,DeFiChainOfficial,10679,7739166374,I wanted to remove liquitidy. Have 600utxo tokens and 10k normal dfi but it says no gas. Why? Does it need more than 500 dfi or bug?,"bug, token",warning,0.325,0.575,dfi,DeFiChain
2025-03-04 21:23:24,DeFiChainOfficial,10676,7785602565,I’ve this error message when trying to convert from DFI EVM to Tokens in DeFiChain wallet. Any ideas?,token,neutral,0.0,0.0,dfi,DeFiChain
2021-10-08 04:40:32,DeFiAnnouncements,529,DeFiannouncements,"🧡 $CURE 🧡

❗️The founder of $CURE, Jacob Beckley, will hold a live conference in @CureTokenV2 on October 8th @ 10AM UTC

🎗 $CURE is the first deflationary token built around doing good. By design, this community powered token has exponential price growth benefits for both holders and charities. We're bridging the innovation of the cryptocurrency space with causes focused on supporting and ending childhood cancer.


🧡 Follow us and join the cause!

🌐 Website: https://www.curetoken.net
💬 Telegram:  https://t.me/CureTokenV2
🐦 Twitter: https://twitter.com/cure_token
📝 Medium: https://medium.com/@curetoken
📘 Facebook: https://www.facebook.com/CureToken","community, token, holder, price",positive,0.3340909090909091,0.42083333333333334,Unknown,Unknown
